11 1960.0       JENSEN CAIN                                                     
  2  1    30411.2                                                               
  2  2     2147.4    -5798.9                                                    
  3  1     2403.5                                                               
  3  2    -5125.3     3312.4                                                    
  3  3    -1338.1     -157.9                                                    
  4  1    -3151.8                                                               
  4  2     6213.0     1487.0                                                    
  4  3    -2489.8     -407.5                                                    
  4  4     -649.6       21.0                                                    
  5  1    -4179.4                                                               
  5  2    -4529.8    -1182.5                                                    
  5  3    -2179.5     1000.6                                                    
  5  4      700.8       43.0                                                    
  5  5     -204.4      138.5                                                    
  6  1     1625.6                                                               
  6  2    -3440.7      -79.6                                                    
  6  3    -1944.7     -200.0                                                    
  6  4      -60.8      459.7                                                    
  6  5      277.5      242.1                                                    
  6  6       69.7     -121.8                                                    
  7  1    -1952.3                                                               
  7  2     -485.3     -575.8                                                    
  7  3      321.2     -873.5                                                    
  7  4     2141.3     -340.6                                                    
  7  5      105.1      -11.8                                                    
  7  6       22.7     -111.6                                                    
  7  7      111.5      -32.5                                                    
